"route_boulder","name","location_name","sector_name","area_name","country_code","date","type","sub_type","rating","project","tries","repeats","difficulty","perceived_hardness","comment","height","recommended","sits"
"ROUTE","Kleiner Dicker","Röthelfels","Sektor 6 - Depotweg & Zinnenwand",,"DE","2018-08-06T12:00:00Z","os",,"5","0","1","0","7-",,"","40","0","null"
"ROUTE","Ratte","Röthelfels","Sektor 6 - Depotweg & Zinnenwand",,"DE","2018-08-06T12:00:00Z","os",,"5","0","1","0","6+",,"","40","0","null"
"ROUTE","Fight Club","Strahlenfels","Strahlenfels",,"DE","2018-09-09T12:00:00Z","go",,"5","0","1","0","8+/9-",,"","25","0","null"
"ROUTE","Symphonie","Strahlenfels","Strahlenfels",,"DE","2018-09-09T12:00:00Z","go",,"5","0","1","0","7+/8-",,"","25","0","null"
"ROUTE","Nightwish","Strahlenfels","Strahlenfels",,"DE","2018-09-09T12:00:00Z","rp",,"5","0","2","0","7+/8-",,"","25","0","null"
"ROUTE","Schmidtstadter Weg","Schmidtstadter Wand","Schmidtstadter Wand",,"DE","2018-09-16T12:00:00Z","rp",,"3","0","2","0","7-",,"","15","0","null"
"ROUTE","Weißglut","Schmidtstadter Wand","Schmidtstadter Wand",,"DE","2018-09-16T12:00:00Z","go",,"3","0","1","0","7+",,"","15","0","null"
"ROUTE","Red Sonja","Schmidtstadter Wand","Schmidtstadter Wand",,"DE","2018-09-16T12:00:00Z","go",,"3","0","1","0","7+/8-",,"","15","0","null"
"ROUTE","Kanaan","Schmidtstadter Wand","Schmidtstadter Wand",,"DE","2018-09-16T12:00:00Z","rp",,"3","0","2","0","6+",,"","15","0","null"
"ROUTE","Plastic Fantastic","Schmidtstadter Wand","Schmidtstadter Wand",,"DE","2018-09-16T12:00:00Z","go",,"5","0","1","0","7+/8-",,"","15","0","null"
"ROUTE","Franz Diewald Ged.-Weg","Kanzelfels (Förrenbach)","Kanzelfels",,"DE","2018-09-28T12:00:00Z","go",,"3","0","1","0","8+",,"","15","0","null"
"ROUTE","Herbstkind","Kanzelfels (Förrenbach)","Kanzelfels",,"DE","2018-09-28T12:00:00Z","os",,"1","0","1","0","6+",,"","15","0","null"
"ROUTE","Hannig Mayer Ged.-Weg","Roter Fels","Sektor 2",,"DE","2018-10-07T12:00:00Z","go",,"3","0","1","0","8-",,"","40","0","null"
"ROUTE","Dolomitweg","Roter Fels","Sektor 2",,"DE","2018-10-07T12:00:00Z","os",,"5","0","1","0","6",,"","40","0","null"
"ROUTE","Luftikus","Roter Fels","Sektor 2",,"DE","2018-10-08T12:00:00Z","go",,"3","0","1","0","8",,"","40","0","null"
"ROUTE","Zentrale Südwand","Kugelspielturm & Brüchige Wand","Brüchige Wand",,"DE","2020-04-11T12:00:00Z","rp","rp","0","0","3","0","6",,"","21","0","null"
"ROUTE","Kletterkursweg","Kugelspielturm & Brüchige Wand","Brüchige Wand",,"DE","2020-04-11T12:00:00Z","rp","rp","0","0","3","0","5",,"","21","0","null"
